filename	id	title	author	genre
obra_246	O Califa de Platina Prosa:conto MdA 1878 masc 	O Califa de Platina	Machado de Assis	conto
obra_247	O caminho de Damasco Prosa:conto MdA 1871 masc 	O caminho de Damasco	Machado de Assis	conto
obra_248	O capitão Mendonça Prosa:conto MdA 1870 masc 	O capitão Mendonça	Machado de Assis	conto
obra_249	O carro no. 13 Prosa:conto MdA 1868 masc 	O carro no 13	Machado de Assis	conto
obra_250	O caso Barreto Prosa:conto MdA 1892 masc 	O caso Barreto	Machado de Assis	conto
obra_251	O caso da vara Prosa:conto MdA 1899 masc 	O caso da vara	Machado de Assis	conto
obra_252	O caso da viúva Prosa:conto MdA 1881 masc 	O caso da viúva	Machado de Assis	conto
obra_253	O caso do Romualdo Prosa:conto MdA 1884 masc 	O caso do Romualdo	Machado de Assis	conto
obra_254	O cônego ou Metafísica do estilo Prosa:conto MdA 1896 masc 	O cônego ou Metafísica do estilo	Machado de Assis	conto
obra_255	O contrato Prosa:conto MdA 1884 masc 	O contrato	Machado de Assis	conto
obra_256	O destinado Prosa:conto MdA 1883 masc 	O destinado	Machado de Assis	conto
obra_257	O dicionário Prosa:conto MdA 1899 masc 	O dicionário	Machado de Assis	conto
obra_258	O diplomático Prosa:conto MdA 1896 masc 	O diplomático	Machado de Assis	conto
obra_259	O empréstimo Prosa:conto MdA 1882 masc 	O empréstimo	Machado de Assis	conto
obra_260	O enfermeiro Prosa:conto MdA 1896 masc 	O enfermeiro	Machado de Assis	conto
obra_261	O escrivão Coimbra Prosa:conto MdA 1906 masc 	O escrivão Coimbra	Machado de Assis	conto
obra_262	O espelho Prosa:conto MdA 1882 masc 	O espelho	Machado de Assis	conto
obra_263	O futuro dos argentinos Prosa:cronica MdA 1888 masc 	O futuro dos argentinos	Machado de Assis	cronica
obra_264	O imortal Prosa:conto MdA 1882 masc 	O imortal	Machado de Assis	conto
obra_265	O jornal e o livro Prosa:cronica MdA 1859 masc 	O jornal e o livro	Machado de Assis	cronica
obra_266	Oliver Twist Prosa:romance MdA 1870 realismo romantismo masc inglês, através do francês, Charles Dickens, 1837-1839	Oliver Twist	Machado de Assis	romance
obra_267	O machete Prosa:conto MdA 1878 masc 	O machete	Machado de Assis	conto
obra_268	O melhor remédio Teatro:comédia MdA 1884 masc 	O melhor remédio	Machado de Assis	
obra_269	Onda Prosa:conto MdA 1867 masc 	Onda	Machado de Assis	conto
obra_270	O oráculo Prosa:conto MdA 1866 masc 	O oráculo	Machado de Assis	conto
obra_271	O pai Prosa:conto MdA 1866 masc 	O pai	Machado de Assis	conto
obra_272	O país das quimeras Prosa:conto MdA 1862 masc 	O país das quimeras	Machado de Assis	conto
obra_273	O passado Prosa:conto MdA 1976 masc 	O passado	Machado de Assis	conto
obra_274	O programa Prosa:conto MdA 1882 masc 	O programa	Machado de Assis	conto
obra_275	O que são as moças Prosa:conto MdA 1866 masc 	O que são as moças	Machado de Assis	conto
obra_276	Orai por ele! Prosa:conto MdA 1895 masc 	Orai por ele!	Machado de Assis	conto
obra_277	O rei dos caiporas Prosa:conto MdA 1870 masc 	O rei dos caiporas	Machado de Assis	conto
obra_278	O relógio de ouro Prosa:conto MdA 1873 masc 	O relógio de ouro	Machado de Assis	conto
obra_279	O sainete Prosa:conto MdA 1875 masc 	O sainete	Machado de Assis	conto
obra_280	O segredo de Augusta Prosa:conto MdA 1870 masc 	O segredo de Augusta	Machado de Assis	conto
obra_281	O segredo do bonzo Prosa:conto MdA 1882 masc 	O segredo do bonzo	Machado de Assis	conto
obra_282	Os óculos de Pedro Antão Prosa:conto MdA 1874 masc 	Os óculos de Pedro Antão	Machado de Assis	conto
obra_283	Os trabalhadores do mar Prosa:romance MdA 1866 romantismo masc francês, Victor Hugo, 1866	Os trabalhadores do mar	Machado de Assis	romance
obra_284	O último dia de um poeta Prosa:conto MdA 1867 masc 	O último dia de um poeta	Machado de Assis	conto
obra_285	O Velho Senado Prosa:cronica MdA 1898 masc 	O Velho Senado	Machado de Assis	cronica
obra_286	O Visconde de Castilho Prosa:cronica MdA 1875 masc 	O Visconde de Castilho	Machado de Assis	cronica
obra_287	Pai contra mãe Prosa:conto MdA 1906 masc 	Pai contra mãe	Machado de Assis	conto
obra_288	Papéis velhos Prosa:conto MdA 1899 masc 	Papéis velhos	Machado de Assis	conto
obra_289	Pílades e Orestes Prosa:conto MdA 1906 masc 	Pílades e Orestes	Machado de Assis	conto
obra_290	Pobre cardeal Prosa:conto MdA 1886 masc 	Pobre cardeal	Machado de Assis	conto
obra_291	Pobre Finoca! Prosa:conto MdA 1891 masc 	Pobre Finoca!	Machado de Assis	conto
obra_292	Ponto de Vista Prosa:conto MdA 1873 masc 	Ponto de Vista	Machado de Assis	conto
